iter	Passed	Remaining
0	141	141327
1	143	71448
2	144	47935
3	144	36090
4	145	29000
5	146	24241
6	146	20835
7	147	18278
8	147	16287
9	148	14720
10	149	13454
11	151	12451
12	151	11538
13	152	10741
14	153	10049
15	153	9444
16	154	8910
17	154	8434
18	155	8016
19	155	7635
20	156	7288
21	156	6972
22	157	6684
23	157	6420
24	158	6183
25	159	5981
26	160	5790
27	162	5642
28	163	5461
29	163	5291
30	164	5132
31	164	4983
32	165	4842
33	165	4710
34	166	4591
35	167	4473
36	167	4361
37	168	4255
38	168	4154
39	169	4058
40	169	3970
41	170	3889
42	171	3816
43	172	3756
44	173	3684
45	174	3611
46	174	3541
47	175	3474
48	175	3409
49	176	3347
50	176	3287
51	177	3231
52	177	3176
53	178	3123
54	178	3072
55	179	3022
56	179	2975
57	180	2931
58	181	2892
59	182	2856
60	183	2824
61	184	2788
62	185	2756
63	185	2718
64	186	2681
65	186	2644
66	187	2609
67	187	2572
68	188	2539
69	188	2506
70	189	2477
71	189	2448
72	190	2418
73	190	2389
74	191	2363
75	192	2335
76	192	2308
77	193	2284
78	193	2258
79	194	2239
80	195	2219
81	197	2212
82	198	2189
83	198	2166
84	199	2142
85	199	2120
86	199	2097
87	200	2076
88	200	2055
89	201	2035
90	201	2016
91	202	1998
92	203	1980
93	203	1963
94	204	1945
95	204	1927
96	205	1910
97	205	1893
98	206	1877
99	207	1865
100	208	1854
101	209	1840
102	210	1829
103	210	1814
104	211	1799
105	211	1784
106	212	1770
107	212	1755
108	213	1742
109	213	1730
110	214	1720
111	215	1707
112	215	1693
113	216	1680
114	216	1668
115	217	1655
116	217	1644
117	218	1632
118	219	1622
119	220	1616
120	222	1619
121	223	1609
122	223	1596
123	224	1585
124	224	1574
125	225	1565
126	226	1555
127	226	1543
128	227	1533
129	227	1523
130	228	1513
131	228	1503
132	229	1494
133	229	1485
134	230	1475
135	230	1466
136	231	1458
137	232	1450
138	233	1446
139	234	1443
140	235	1434
141	236	1426
142	236	1418
143	237	1410
144	237	1402
145	238	1394
146	239	1387
147	239	1379
148	240	1371
149	240	1364
150	241	1358
151	242	1350
152	242	1343
153	243	1336
154	243	1329
155	244	1325
156	245	1320
157	247	1317
158	247	1311
159	248	1305
160	249	1298
161	249	1293
162	250	1286
163	250	1279
164	251	1273
165	252	1267
166	252	1260
167	253	1254
168	253	1248
169	254	1241
170	254	1235
171	255	1230
172	256	1224
173	257	1220
174	258	1217
175	258	1212
176	260	1209
177	260	1203
178	261	1198
179	262	1193
180	262	1187
181	262	1181
182	263	1176
183	264	1171
184	264	1166
185	265	1160
186	265	1155
187	266	1149
188	266	1144
189	267	1139
190	267	1134
191	268	1129
192	269	1125
193	270	1122
194	271	1120
195	272	1116
196	272	1112
197	273	1107
198	273	1102
199	274	1097
200	274	1092
201	275	1087
202	275	1083
203	276	1079
204	277	1074
205	277	1069
206	278	1065
207	278	1060
208	279	1056
209	279	1051
210	280	1047
211	281	1045
212	282	1042
213	282	1039
214	283	1036
215	287	1041
216	288	1042
217	289	1038
218	289	1033
219	290	1029
220	290	1025
221	291	1021
222	292	1018
223	293	1015
224	294	1012
225	295	1011
226	296	1008
227	296	1004
228	297	1000
229	297	996
230	298	992
231	298	988
232	299	984
233	299	981
234	300	977
235	300	973
236	301	970
237	301	966
238	302	962
239	302	958
240	303	954
241	303	951
242	304	949
243	305	946
244	306	945
245	307	943
246	308	940
247	308	936
248	309	933
249	310	930
250	310	926
251	311	923
252	311	920
253	312	917
254	312	913
255	313	910
256	313	907
257	314	903
258	314	900
259	315	897
260	316	896
261	317	894
262	318	893
263	319	891
264	320	888
265	320	884
266	321	881
267	321	878
268	322	875
269	322	872
270	323	869
271	323	866
272	324	863
273	324	860
274	325	857
275	325	854
276	326	851
277	327	849
278	327	846
279	328	844
280	329	843
281	330	841
282	332	841
283	332	838
284	333	835
285	333	832
286	334	830
287	334	827
288	335	824
289	335	821
290	336	819
291	336	816
292	337	813
293	337	811
294	338	808
295	338	805
296	339	803
297	339	800
298	340	798
299	341	796
300	342	795
301	344	796
302	344	793
303	345	791
304	346	788
305	346	785
306	347	783
307	347	780
308	348	778
309	348	775
310	349	773
311	349	771
312	350	768
313	350	766
314	351	763
315	351	761
316	352	758
317	352	756
318	353	754
319	354	752
320	355	751
321	356	750
322	357	749
323	357	746
324	358	744
325	358	742
326	359	739
327	359	737
328	360	735
329	361	733
330	361	730
331	362	728
332	362	726
333	363	724
334	363	721
335	364	719
336	365	718
337	365	716
338	366	715
339	367	713
340	369	714
341	370	712
342	370	709
343	371	707
344	371	705
345	372	703
346	372	701
